,nombre_tienda,razon_social,clase,estrato,tipo_vialidad,calle,num_exterior,num_interior,colonia,codigo_postal,ubicacion,telefono,correo,pagina_web,tipo,longitud,latitud,tipo_corredor_industrial,nom_corredor_industrial,numero_local,municipio,dimension,porcentaje_obesidad,valor_comercial,numero_tiendas_municipio,numero_tiendas_colonia,place_id,current_popularity,popular_times,rating,rating_n,populartimes,time_spent
10,Y ropa y accesorios caballero,318 Y320 ROPA Y ACCESORIOS CABALLERO ,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,SERAFIN PEÑA,1010.0,,MONTERREY CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.32641874,25.66760141,"TIANGUIS, BAZAR O PULGA",PULGA RIO MONTERREY,318,Monterrey,,42.2707,6098.849922,1578,282,,,,,,,
11,Milano,MILANO OPERADORA SA DE CV,"Comercio al por menor de ropa, excepto de bebé y lencería",11 a 30 personas,CALLE,VICENTE GUERRERO,163.0,0.0,CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,WWW.MILANO.COM,Fijo,-100.31316265,25.67688257,,,,Monterrey,,42.2707,6098.849922,1578,276,,,,,,,
12,Milano,MILANO OPERADORA SA DE CV,"Comercio al por menor de ropa, excepto de bebé y lencería",11 a 30 personas,AVENIDA,LICENCIADO BENITO JUÁREZ,250.0,0.0,CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,WWW.MILANO.COM,Fijo,-100.31467337,25.67502862,,,,Monterrey,,42.2707,6098.849922,1578,276,,,,,,,
13,Milano,MILANO OPERADORA SA DE CV,"Comercio al por menor de ropa, excepto de bebé y lencería",6 a 10 personas,CALZADA,FRANCISCO I. MADERO,235.0,0.0,CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,WWW.MILANO.COM,Fijo,-100.31471819,25.6841858,,,,Monterrey,,42.2707,6098.849922,1578,276,,,,,,,
14,Tienda monterrey iii,GRUPO VANITY SA DE CV,"Comercio al por menor de ropa, excepto de bebé y lencería",6 a 10 personas,CALLE,FRAY SERVANDO TERESA DE MIER,472.0,0.0,MONTERREY CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.31226629,25.668079,,,,Monterrey,C,42.2707,6098.849922,1578,282,,,,,,,
15,Ropa y calzado dama,86 ROPA Y CALZADO DAMA ,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,SERAFIN PEÑA,1010.0,0.0,MONTERREY CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.32641874,25.66760141,"TIANGUIS, BAZAR O PULGA",PULGA RIO MONTERREY,86,Monterrey,,42.2707,6098.849922,1578,282,,,,,,,
16,Ab boutique suc. morelos,AB BOUTIQUE SA DE CV,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,MORELOS,101.0,,CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,ECOMMERCE@LAVORO.COM.MX,WWW.LAVOROJEANS.COM.MX,Fijo,-100.30704669,25.66645952,CENTRO Y PLAZA COMERCIAL,INTERPLAZA,130,Monterrey,,42.2707,6098.849922,1578,276,,,,,,,
17,Ab boutique suc. plaza mexico,AB BOUTIQUE SA DE CV,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,MORELOS,901.0,,CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,ECOMMERCE@LAVORO.COM,WWW.LAVOROJEANS.COM.MX,Fijo,-100.30759635,25.66644948,CENTRO Y PLAZA COMERCIAL,PLAZA MORELOS,E 3,Monterrey,,42.2707,6098.849922,1578,276,,,,,,,
18,Adrenalina,,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,FRAY SERVANDO TERESA DE MIER,101.0,206.0,CENTRO DE MONTERREY,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.31508961,25.66852024,EDIFICIO COMERCIAL Y DE SERVICIOS,SHOPTOWN INTER PLAZA,206,Monterrey,C,42.2707,6098.849922,1578,271,ChIJty98Qy--YoYRt07mTSBgQHA,,,5.0,2.0,,
19,Al centro,,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,JUAN IGNACIO RAMON,250.0,,CENTRO DE MONTERREY,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.31658345,25.6713285,,,,Monterrey,,42.2707,6098.849922,1578,271,,,,,,,
20,Almacen de ropa ezequiel valdez lopez,,"Comercio al por menor de ropa, excepto de bebé y lencería",6 a 10 personas,CALLE,DIEGO DE MONTEMAYOR,226.0,,MONTERREY CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",8182877372.0,MAYOREODEROPA@HOTMAIL.COM,,Fijo,-100.30465855,25.67638198,,,,Monterrey,C,42.2707,6098.849922,1578,282,,,,,,,
21,Almacenes sanchez,,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,REFORMA,212.0,,ZONA CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",8183727628.0,,,Fijo,-100.31488664,25.68494953,,,,Monterrey,C,42.2707,6098.849922,1578,189,ChIJCXDGFIWVYoYRSwdsl_rz0LU,,,,,,
22,Altiro con el nergro,,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,ANDADOR,COLEGIO CIVIL,463.0,0.0,MONTERREY CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.31573114,25.67267489,PASAJE Y ANDADOR COMERCIAL,ANTONELA,463,Monterrey,,42.2707,6098.849922,1578,282,,,,,,,
23,Alvarado vestir,,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALLE,COLEGIO CIVIL,,,ZONA CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.31420685,25.68422797,,,,Monterrey,C,42.2707,6098.849922,1578,189,ChIJv5GqDoWVYoYRW3dLJvYWNjQ,,"[[7, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 7, 'Usually not busy', '', '9 AM'], [10, 15, 'Usually not busy', '', '10 AM'], [11, 26, 'Usually not too busy', '', '11 AM'], [12, 38, 'Usually not too busy', '', '12 PM'], [13, 46, 'Usually not too busy', '', '1 PM'], [14, 50, 'Usually not too busy', '', '2 PM'], [15, 50, 'Usually not too busy', '', '3 PM'], [16, 46, 'Usually not too busy', '', '4 PM'], [17, 0, '', '', '5 PM'], [18, 0, '', '', '6 PM'], [19, 0, '', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [1, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 0, '', '', '9 AM'], [10, 0, '', '', '10 AM'], [11, 7, 'Usually not busy', '', '11 AM'], [12, 19, 'Usually not busy', '', '12 PM'], [13, 30, 'Usually not too busy', '', '1 PM'], [14, 42, 'Usually not too busy', '', '2 PM'], [15, 46, 'Usually not too busy', '', '3 PM'], [16, 50, 'Usually not too busy', '', '4 PM'], [17, 61, 'Usually a little busy', '', '5 PM'], [18, 76, 'Usually a little busy', '', '6 PM'], [19, 42, 'Usually not too busy', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [2, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 11, 'Usually not busy', '', '9 AM'], [10, 46, 'Usually not too busy', '', '10 AM'], [11, 30, 'Usually not too busy', '', '11 AM'], [12, 26, 'Usually not too busy', '', '12 PM'], [13, 46, 'Usually not too busy', '', '1 PM'], [14, 65, 'Usually a little busy', '', '2 PM'], [15, 65, 'Usually a little busy', '', '3 PM'], [16, 53, 'Usually a little busy', '', '4 PM'], [17, 46, 'Usually not too busy', '', '5 PM'], [18, 53, 'Usually a little busy', '', '6 PM'], [19, 46, 'Usually not too busy', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [3, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 7, 'Usually not busy', '', '9 AM'], [10, 15, 'Usually not busy', '', '10 AM'], [11, 30, 'Usually not too busy', '', '11 AM'], [12, 46, 'Usually not too busy', '', '12 PM'], [13, 65, 'Usually a little busy', '', '1 PM'], [14, 76, 'Usually a little busy', '', '2 PM'], [15, 80, 'Usually as busy as it gets', '', '3 PM'], [16, 92, 'Usually as busy as it gets', '', '4 PM'], [17, 100, 'Usually as busy as it gets', '', '5 PM'], [18, 76, 'Usually a little busy', '', '6 PM'], [19, 38, 'Usually not too busy', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [4, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 3, 'Usually not busy', '', '9 AM'], [10, 7, 'Usually not busy', '', '10 AM'], [11, 11, 'Usually not busy', '', '11 AM'], [12, 23, 'Usually not too busy', '', '12 PM'], [13, 38, 'Usually not too busy', '', '1 PM'], [14, 53, 'Usually a little busy', '', '2 PM'], [15, 61, 'Usually a little busy', '', '3 PM'], [16, 57, 'Usually a little busy', '', '4 PM'], [17, 50, 'Usually not too busy', '', '5 PM'], [18, 34, 'Usually not too busy', '', '6 PM'], [19, 23, 'Usually not too busy', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [5, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 11, 'Usually not busy', '', '9 AM'], [10, 15, 'Usually not busy', '', '10 AM'], [11, 19, 'Usually not busy', '', '11 AM'], [12, 30, 'Usually not too busy', '', '12 PM'], [13, 46, 'Usually not too busy', '', '1 PM'], [14, 61, 'Usually a little busy', '', '2 PM'], [15, 69, 'Usually a little busy', '', '3 PM'], [16, 65, 'Usually a little busy', '', '4 PM'], [17, 76, 'Usually a little busy', '', '5 PM'], [18, 88, 'Usually as busy as it gets', '', '6 PM'], [19, 38, 'Usually not too busy', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [6, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 7, 'Usually not busy', '', '9 AM'], [10, 15, 'Usually not busy', '', '10 AM'], [11, 30, 'Usually not too busy', '', '11 AM'], [12, 46, 'Usually not too busy', '', '12 PM'], [13, 69, 'Usually a little busy', '', '1 PM'], [14, 84, 'Usually as busy as it gets', '', '2 PM'], [15, 92, 'Usually as busy as it gets', '', '3 PM'], [16, 88, 'Usually as busy as it gets', '', '4 PM'], [17, 73, 'Usually a little busy', '', '5 PM'], [18, 53, 'Usually a little busy', '', '6 PM'], [19, 34, 'Usually not too busy', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0]]",3.8,4.0,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19, 30, 42, 46, 50, 61, 76, 42, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 46, 30, 26, 46, 65, 65, 53, 46, 53, 46, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 30, 46, 65, 76, 80, 92, 100, 76, 38, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 11, 23, 38, 53, 61, 57, 50, 34, 23, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 15, 19, 30, 46, 61, 69, 65, 76, 88, 38, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 30, 46, 69, 84, 92, 88, 73, 53, 34, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 26, 38, 46, 50, 50, 46, 0, 0, 0, 0, 0, 0, 0]}]",
24,Alvarado vestir,,"Comercio al por menor de ropa, excepto de bebé y lencería",0 a 5 personas,CALZADA,FRANCISCO I. MADERO,,,ZONA CENTRO,64000,"MONTERREY, Monterrey, NUEVO LEÓN   ",,,,Fijo,-100.31434946,25.68414461,,,,Monterrey,C,42.2707,6098.849922,1578,189,ChIJv5GqDoWVYoYRW3dLJvYWNjQ,,"[[7, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 7, 'Usually not busy', '', '9 AM'], [10, 15, 'Usually not busy', '', '10 AM'], [11, 26, 'Usually not too busy', '', '11 AM'], [12, 38, 'Usually not too busy', '', '12 PM'], [13, 46, 'Usually not too busy', '', '1 PM'], [14, 50, 'Usually not too busy', '', '2 PM'], [15, 50, 'Usually not too busy', '', '3 PM'], [16, 46, 'Usually not too busy', '', '4 PM'], [17, 0, '', '', '5 PM'], [18, 0, '', '', '6 PM'], [19, 0, '', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [1, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 0, '', '', '9 AM'], [10, 0, '', '', '10 AM'], [11, 7, 'Usually not busy', '', '11 AM'], [12, 19, 'Usually not busy', '', '12 PM'], [13, 30, 'Usually not too busy', '', '1 PM'], [14, 42, 'Usually not too busy', '', '2 PM'], [15, 46, 'Usually not too busy', '', '3 PM'], [16, 50, 'Usually not too busy', '', '4 PM'], [17, 61, 'Usually a little busy', '', '5 PM'], [18, 76, 'Usually a little busy', '', '6 PM'], [19, 42, 'Usually not too busy', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [2, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 11, 'Usually not busy', '', '9 AM'], [10, 46, 'Usually not too busy', '', '10 AM'], [11, 30, 'Usually not too busy', '', '11 AM'], [12, 26, 'Usually not too busy', '', '12 PM'], [13, 46, 'Usually not too busy', '', '1 PM'], [14, 65, 'Usually a little busy', '', '2 PM'], [15, 65, 'Usually a little busy', '', '3 PM'], [16, 53, 'Usually a little busy', '', '4 PM'], [17, 46, 'Usually not too busy', '', '5 PM'], [18, 53, 'Usually a little busy', '', '6 PM'], [19, 46, 'Usually not too busy', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [3, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 7, 'Usually not busy', '', '9 AM'], [10, 15, 'Usually not busy', '', '10 AM'], [11, 30, 'Usually not too busy', '', '11 AM'], [12, 46, 'Usually not too busy', '', '12 PM'], [13, 65, 'Usually a little busy', '', '1 PM'], [14, 76, 'Usually a little busy', '', '2 PM'], [15, 80, 'Usually as busy as it gets', '', '3 PM'], [16, 92, 'Usually as busy as it gets', '', '4 PM'], [17, 100, 'Usually as busy as it gets', '', '5 PM'], [18, 76, 'Usually a little busy', '', '6 PM'], [19, 38, 'Usually not too busy', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [4, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 3, 'Usually not busy', '', '9 AM'], [10, 7, 'Usually not busy', '', '10 AM'], [11, 11, 'Usually not busy', '', '11 AM'], [12, 23, 'Usually not too busy', '', '12 PM'], [13, 38, 'Usually not too busy', '', '1 PM'], [14, 53, 'Usually a little busy', '', '2 PM'], [15, 61, 'Usually a little busy', '', '3 PM'], [16, 57, 'Usually a little busy', '', '4 PM'], [17, 50, 'Usually not too busy', '', '5 PM'], [18, 34, 'Usually not too busy', '', '6 PM'], [19, 23, 'Usually not too busy', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [5, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 11, 'Usually not busy', '', '9 AM'], [10, 15, 'Usually not busy', '', '10 AM'], [11, 19, 'Usually not busy', '', '11 AM'], [12, 30, 'Usually not too busy', '', '12 PM'], [13, 46, 'Usually not too busy', '', '1 PM'], [14, 61, 'Usually a little busy', '', '2 PM'], [15, 69, 'Usually a little busy', '', '3 PM'], [16, 65, 'Usually a little busy', '', '4 PM'], [17, 76, 'Usually a little busy', '', '5 PM'], [18, 88, 'Usually as busy as it gets', '', '6 PM'], [19, 38, 'Usually not too busy', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0], [6, [[6, 0, '', '', '6 AM'], [7, 0, '', '', '7 AM'], [8, 0, '', '', '8 AM'], [9, 7, 'Usually not busy', '', '9 AM'], [10, 15, 'Usually not busy', '', '10 AM'], [11, 30, 'Usually not too busy', '', '11 AM'], [12, 46, 'Usually not too busy', '', '12 PM'], [13, 69, 'Usually a little busy', '', '1 PM'], [14, 84, 'Usually as busy as it gets', '', '2 PM'], [15, 92, 'Usually as busy as it gets', '', '3 PM'], [16, 88, 'Usually as busy as it gets', '', '4 PM'], [17, 73, 'Usually a little busy', '', '5 PM'], [18, 53, 'Usually a little busy', '', '6 PM'], [19, 34, 'Usually not too busy', '', '7 PM'], [20, 0, '', '', '8 PM'], [21, 0, '', '', '9 PM'], [22, 0, '', '', '10 PM'], [23, 0, '', '', '11 PM']], 0]]",3.8,4.0,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19, 30, 42, 46, 50, 61, 76, 42, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 46, 30, 26, 46, 65, 65, 53, 46, 53, 46, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 30, 46, 65, 76, 80, 92, 100, 76, 38, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 11, 23, 38, 53, 61, 57, 50, 34, 23, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 15, 19, 30, 46, 61, 69, 65, 76, 88, 38, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 30, 46, 69, 84, 92, 88, 73, 53, 34, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 26, 38, 46, 50, 50, 46, 0, 0, 0, 0, 0, 0, 0]}]",
